500 candles
10/07/2014;16892.865234;16892.865234;16892.865234;16892.865234;0
11/07/2014;16904.8808595;16890.3767164788;16898.87304675;16907.3693770212;0.868123445394603
14/07/2014;17019.679688;16845.8865449514;16939.1419271667;17032.3973093819;0.890661458711572
15/07/2014;17063.3652345;16846.8989131425;16970.197754;17093.4965948575;0.876042152166677
16/07/2014;17100.6298825;16851.8109853707;16996.2841797;17140.7573740293;0.870701304237229
17/07/2014;17058.875;16868.124995172;17006.7159830833;17145.3069709946;0.766662508802065
18/07/2014;17045.5146485;16881.5088244198;17012.2586495714;17143.0084747231;0.67491965619193
21/07/2014;17034.7246095;16891.9742869115;17015.0668945625;17138.1595022135;0.534630387659511
22/07/2014;17086.7802735;16899.4460624379;17023.0350477778;17146.6240331177;0.823757082927117
23/07/2014;17089.550781;16906.4782584625;17029.6866211;17152.8949837375;0.813985087994807
24/07/2014;17090.450195;16913.1045682704;17035.2105823636;17157.3165964569;0.801678263898683
25/07/2014;16998.9902345;16913.7234643749;17032.1922200417;17150.6609757084;-0.699903883900401
28/07/2014;16939.550781;16901.7559855026;17025.0659555;17148.3759254974;-0.865717535427347
29/07/2014;16984.2851565;16901.616905654;17022.1530412857;17142.6891769174;-0.727379434031456
30/07/2014;16900.5498045;16883.6797189571;17014.0461588333;17144.4125987096;-0.89148738781578
31/07/2014;16716.46582;16807.3227630623;16995.4473876562;17183.5720122502;-0.934790689879439
01/08/2014;16510.910156;16680.1653243443;16966.9451975588;17253.7250707734;-0.939050997694471
04/08/2014;16521.709961;16600.20546842;16942.2099066389;17284.2143448578;-0.921886823637142
05/08/2014;16464.760254;16524.8013517534;16917.0809775526;17309.3606033518;-0.916928308674525
06/08/2014;16431.5097655;16458.3518194908;16892.80241695;17327.2530144092;-0.91011790441947
07/08/2014;16419.064941;16390.3056927426;16869.1124023;17347.9191118574;-0.899073698035242
08/08/2014;16460.4047855;16337.84774178;16846.8885986;17355.92945542;-0.876594484353153
11/08/2014;16592.6298825;16307.1980046382;16825.536108325;17343.8742120118;-0.800473161095011
12/08/2014;16553.685547;16271.7741176913;16800.05212395;17328.3301302087;-0.807003214343375
13/08/2014;16618.914062;16245.0867515521;16775.966332925;17306.8459142979;-0.713175804138718
14/08/2014;16682.9453125;16225.7652252544;16757.16984855;17288.5744718456;-0.488731512827919
15/08/2014;16675.3447265;16206.7107152746;16738.66135245;17270.6119896254;-0.431648495717106
18/08/2014;16752.364258;16192.5198429193;16724.543334875;17256.5668268306;0.147738080067063
19/08/2014;16884.095703;16177.757437715;16714.40910635;17251.060774985;0.72886955936721
20/08/2014;16945.720703;16160.7242212321;16707.21760245;17253.7109836679;0.795221404204364
21/08/2014;17029.2353515;16139.1967396951;16704.156860275;17269.1169808549;0.840471772799617
22/08/2014;17024.399414;16122.9257287606;16705.42731925;17287.9289097394;0.833086038678887
25/08/2014;17068.2753905;16109.1601284989;16711.863549725;17314.5669709511;0.844421850921557
26/08/2014;17116.6855465;16090.2498694292;16718.483569225;17346.7172690208;0.854048240340438
27/08/2014;17112.604492;16079.841713914;16729.0863036;17378.330893286;0.844266970462009
28/08/2014;17068.6953125;16093.4835127394;16746.697778225;17399.9120437106;0.816389975880729
29/08/2014;17072.9003905;16140.0781579558;16774.79728995;17409.5164219442;0.808221331742862
02/09/2014;17061.290039;16184.5455327505;16801.77629385;17419.0070549495;0.788327820392644
03/09/2014;17106.0507815;16238.1272500758;16833.840820225;17429.5543903742;0.803447517631638
04/09/2014;17095.834961;16298.9159537202;16867.05708;17435.1982062798;0.78009666532032
05/09/2014;17073.489258;16362.8323995437;16899.77829585;17436.7241921563;0.73410511063046
08/09/2014;17108.5253905;16417.7368728054;16932.1843261;17446.6317793946;0.746966943384575
09/09/2014;17052.4199215;16449.5074550985;16955.17382805;17460.8402010015;0.594528687011191
10/09/2014;17027.4199215;16484.8658248791;16978.860546775;17472.8552686709;0.361569711046532
11/09/2014;17020.6455075;16509.8746641798;16998.94711905;17488.0195739202;0.10498293091941
12/09/2014;16990.8603515;16526.2851945858;17014.342871;17502.4005474142;-0.125131863869677
15/09/2014;17001.615234;16543.2477646245;17030.656396375;17518.0650281255;-0.18668413629085
16/09/2014;17076.300781;16559.4254788622;17046.853222525;17534.2809661878;0.191046214191685
17/09/2014;17155.0595705;16577.0597869023;17060.4014159;17543.7430448977;0.600124553501058
18/09/2014;17219.549805;16598.2001010849;17074.092871;17549.9856409151;0.720960515469912
19/09/2014;17304.0507815;16624.4885296462;17087.8336425;17551.1787553538;0.807109283758527
22/09/2014;17218.620117;16653.3916560883;17097.54467765;17541.6976992117;0.692920572218336
23/09/2014;17113.875;16685.2097658034;17099.824658125;17514.4395504466;0.0522913731512658
24/09/2014;17130.2646485;16725.8441814235;17100.503613225;17475.1630450265;0.283968356133328
25/09/2014;17075.330078;16765.3815555524;17098.639892525;17431.8982294976;-0.239382863087335
26/09/2014;17048.129883;16796.2574685549;17097.61162105;17398.9657735451;-0.543883095759369
29/09/2014;17021.0595705;16822.7416887018;17095.01958005;17367.2974713982;-0.692018877158269
30/09/2014;17081.104492;16849.6158831788;17096.0103027;17342.4047222212;-0.191472864145708
01/10/2014;16908.6455075;16857.685625363;17086.140039;17314.594452637;-0.87922830947192
02/10/2014;16765.644531;16824.2633409239;17069.6305175;17314.9976940761;-0.922455070952288
03/10/2014;16915.0195315;16819.8943016116;17061.707031175;17303.5197607384;-0.8480218305574
06/10/2014;17014.885742;16827.6578623113;17057.02504875;17286.3922351887;-0.58024376666704
